,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Osovnikar,Osovnikar,Blackwood,Simone Collio,Osovnikar,Osovnikar,Osovnikar
1,Blackwood,keniano Sambu,Simone Collio,Sambu,keniano Sambu,Blackwood,Blackwood
2,Simone Collio,METRI,Bailey,Andrea Longo,Simone Collio,Simone Collio,Simone Collio
3,Sambu,Simone Collio,statunitense Streete - Thompson,Andrea Barberi,giamaicano Blackwood,Sambu,Sambu
4,Bailey,Kaba Fantoni,statunitense Joshua Johnson,serie B,Bailey,Bailey,Bailey
5,Kaba Fantoni,Berlanda,Andrea Barberi,Niederstätter,Kaba Fantoni,Kaba Fantoni,Kaba Fantoni
6,Berlanda,Andrea Barberi,Andrea Longo,statunitense,Andrea Longo,Berlanda,Berlanda
7,Andrea Barberi,Andrea Longo,statunitense,Marlon Devonish,Andrea Barberi,Andrea Barberi,Andrea Barberi
8,serie B,Streete,Fantoni,sloveno,B,serie B,Andrea Longo
9,Niederstätter,Blackwood,Torrieri,,Streete,Andrea Longo,statunitense
10,Andrea Longo,Torrieri,Marlon Devonish,,Torrieri,Niederstätter Devonish,inglese
11,Streete - Thompson,Joshua Johnson,,,Joshua Johnson,Streete - Thompson,Streete - Thompson
12,Torrieri,Thompson,,,Marlon Devonish,Torrieri,Torrieri
13,Joshua Johnson,,,,Devonish,Joshua Johnson,Joshua Johnson
14,Marlon Devonish,,,,Thompson,Marlon Devonish,Marlon Devonish
15,Devonish,,,,,,giamaicano
16,,,,,,,sloveno
