,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Massimo Egidi,Massimo Egidi,Massimo Egidi,Trento,Massimo Egidi,Massimo Egidi,Massimo Egidi
1,Davide Bassi,Trento,Trento,Davide Bassi,Trento,Trento,Trento
2,Itc,Davide Bassi,Davide Bassi,Roma,presidenza dell'Itc futura Fondazione Kessler,Davide Bassi,Davide Bassi
3,Egidi,Roma,Roma,Adriano De Maio,Davide Bassi,Itc futura Fondazione Kessler,Roma
4,Conferenza dei rettori,Bonvicini,Adriano De Maio,Luiss,Roma,Roma,Adriano De Maio
5,via Belenzani,Luiss,Egidi,Università di Trento,Bonvicini,Adriano De Maio,Bonvicini
6,Luiss,Adriano De Maio,Luiss,Letizia Moratti,Egidi,Egidi,Luiss
7,Adriano De Maio,via Belenzani,Maio,Italia,Luiss,Conferenza dei rettori,via Belenzani
8,Il Mondo,Università di Trento,Crui,Crui,via Belenzani,via Belenzani,Italia
9,Università di Trento,De Maio,De Maio,,Adriano De Maio,Luiss,Il Mondo
10,De Maio,Letizia Moratti,Letizia Moratti,,De Maio,Università di Trento,Università di Trento
11,Letizia Moratti,Italia,Italia,,Letizia Moratti,De Maio,De Maio
12,Fondazione Kessler,Crui,Kessler,,Italia,Letizia Moratti,Letizia Moratti
13,Commissione De Maio,,Massimo,,Commissione De Maio,Italia,Fondazione Kessler
14,Crui,,,,Crui,Commissione De Maio,Commissione De Maio
15,,,,,,Crui,
