,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,David Kilel,David Kilel,David Kilel,Ivano Brugnetti,David Kilel,David Kilel,David Kilel
1,Belov,Belov,Lo statunitense,400 OSTACOLI,Belov,Belov,eritreo
2,Kamani,Kamani,Kamani,serie B,Kamani,Kamani,Belov
3,Giulio Ciotti,Giulio Ciotti,Giulio Ciotti,statunitense,Giulio Ciotti,Giulio Ciotti,Kamani
4,Massimo Pegoretti,Massimo Pegoretti,sudanese Ismail,svedese,sudanese Ismail,Massimo Pegoretti,Massimo Pegoretti
5,Tadesse,Tadesse,l'eritreo Tadesse,Daniel Komen,Soglio,Tadesse,Tadesse
6,Nieto,Bruxelles,svedese,Atene,Nieto,Nieto,svedese
7,Som,Fiasconaro,svedese Strand,Strand,trentino Massimo Pegoretti,Som,Soglio
8,Yego,METRI,trentino Massimo Pegoretti,meeting di Bruxelles,Yego,Yego,Som
9,Fiasconaro,Nicola,Fiasconaro,Giulio Ciotti,Fiasconaro,Strand,italiano
10,Ismail,Atene,sudanese,bielorusso,Mondiali junior,Fiasconaro,Yego
11,Nicola,Wachira,belga,record del mondo,Rifesser,Ismail,Strand
12,Rifesser,Ivano Brugnetti,Nicola,,Atene,Nicola,Fiasconaro
13,Dal Soglio,Passerella,Rifesser,,Ivano Brugnetti,Rifesser,belga
14,Wachira,Vasilevskis,Atene,,gemelli Nicola,Dal Soglio,sudanese
15,Ivano Brugnetti,Daniel Komen,Dal,,Vasilevskis,Wachira,Ismail
16,Crepaz,Joseph Kosgei,trentino,,Daniel Komen,Ivano Brugnetti,Nicola
17,Vasilevskis,Lusis,Ivano Brugnetti,,Joseph Kosgei,Crepaz,Rifesser
18,Daniel Komen,Strand,Dal Soglio,,Lusis,Vasilevskis,Atene
19,Joseph Kosgei,Gebrselassie,Vasilevskis,,altoatesino Crepaz,Daniel Komen,trentino
20,serie B,Neunhauserer,Daniel Komen,,Bruxelles,Joseph Kosgei,Wachira
21,Lusis,,bielorusso,,Gebrselassie,serie B,Ivano Brugnetti
22,Strand,,Joseph Kosgei,,,Lusis,Vasilevskis
23,Gebrselassie,,Lo statunitense Nieto,,,Bruxelles,Daniel Komen
24,Neunhauserer,,L'altoatesino Crepaz,,,Gebrselassie,Joseph Kosgei
25,,,Bruxelles,,,Neunhauserer,panamense
26,,,Gebrselassie,,,,L'altoatesino Crepaz
27,,,Neunhauserer,,,,Bruxelles
28,,,,,,,Giulio Ciotti
29,,,,,,,Neunhauserer
