,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,KATIA MALATESTA,Centauro,Bangla Desh,Centauro,Vcc,KATIA MALATESTA,"Koll
Di KATIA MALATESTA"
1,Brigata Friuli,Brigata Friuli,Brigata Friuli,guerriglia,Brigata Friuli,Beltrami,Brigata Friuli
2,Jery Kuhel,Jery Kuhel,iraniano,Brigata Friuli,Jery Kuhel,Brigata Friuli,iraniano
3,Brigata aeromobile Friuli,Brigata aeromobile Friuli,Carmelo Abisso,Brigata aeromobile Friuli,Carmelo Abisso,Jery Kuhel,Carmelo Abisso
4,Carmelo Abisso,Carmelo Abisso,don Gabriele Nanni,Etiopia,Friuli,Brigata aeromobile Friuli,Daryush Yari
5,Friuli,Friuli,Bangla,Tiscali,Gabriele Nanni,Carmelo Abisso,Daka
6,Forza di reazione rapida,Massimo Manservigi,Lia G . Beltrami,Iraq,Daryush Yari,Lia G,Lia G. Beltrami direttrice artistica del Festival
7,Massimo Manservigi,don Gabriele Nanni,don Massimo Manservigi,Claudia Koll,Claudia Koll,Friuli,Massimo Manservigi
8,Gabriele Nanni,Daryush Yari,iraniano Daryush Yari,,Desh Ahmed Muztaba Zamal,Forza di reazione rapida,Etiopia
9,Daryush Yari,Lia G. Beltrami,Festival,,Lia G. Beltrami,Massimo Manservigi,Vm
10,Lia G. Beltrami,Etiopia,Jery,,Etiopia,Gabriele Nanni,Tiscali
11,Claudia Koll,Forza,Etiopia,,Forza,Daryush Yari,Iraq
12,Tiscali,«,Bangla Desh Ahmed Muztaba Zamal,,Daka,Bangla Desh Ahmed Muztaba Zamal,Friuli
13,Ahmed Muztaba Zamal,Tiscali,Tiscali,,Tiscali,Etiopia,inglese
14,Koll,Iraq,Iraq,,Iraq,Claudia Koll,Claudia Koll
15,,Claudia Koll,Friuli,,Koll,Tiscali,Religion Today
16,,,Brigata,,,Iraq,Centauro
17,,,Claudia Koll,,,Koll,Jery Kuhel
18,,,KATIA MALATESTA,,,,Gabriele Nanni
19,,,,,,,don
