,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Bud Blumenthal,Bud Blumenthal,Bud Blumenthal,Trento,Bud Blumenthal,Bud Blumenthal,Bud Blumenthal
1,Bill Vorn,Trento,Trento,Uil,Trento,Trento,Trento
2,Uil,Sessa Aurunca»,Bill Vorn,Castelsardo,Bill Vorn,Bill Vorn,Uil
3,Tarantàs Borgo,Philippe Demers,Uil,Bolzano,Philippe Demers,Tarantàs Borgo,Philippe Demers
4,Servizio lavoro,Castelsardo,Castelsardo,Stefano Benni,Castelsardo,Servizio lavoro,Bill Vorn «L'assemblèe - Le procès
5,Estroteatro,Uil,Occidente,Sessa Aurunca,Uil,Uil,Trento Fiere
6,banda di Dodiciville,Occidente,Bolzano,Dodiciville,Trento Fiere,Estroteatro,Minoranzero
7,Stefano Benni,Bolzano,Stefano Benni,,Bolzano,banda di Dodiciville,Bolzano
8,Feneal,Stefano Benni,Sessa Aurunca,,Stefano Benni,Bolzano,Sessa Aurunca
9,Compagnia Bud Blumenthal / Hybrid,Bill Vorn «,Dodiciville,,Sessa Aurunca,Stefano Benni,Compagnia Bud Blumenthal / Hybrid
10,via Briamasco,Feneal,Oriente,,Feneal,Feneal,Dodiciville
11,Louis - Philippe Demers,«Cantori,Louis - Philippe Demers,,Dodiciville,Compagnia Bud Blumenthal / Hybrid,Stefano Benni
12,Cantori di Castelsardo e Sessa Aurunca,Louis,Bud,,via Briamasco,Louis - Philippe Demers,Feneal
13,Soultrain,«,,,Louis,via Briamasco 2,Cantori di Castelsardo
14,,Compagnia Bud Blumenthal,,,Borgo,Cantori di Castelsardo e Sessa Aurunca,Louis
15,,,,,reflets d'Ulysse,Soultrain,via Briamasco 2
16,,,,,,,Soultrain
