,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,piazza Dante,Curcu & Genovese,Tiziana Andretti illustrerà,piazza Dante,piazza Dante,piazza Dante,piazza Dante
1,Curcu & Genovese,Andrea Castelli,Andrea Castelli,Andrea Castelli,Curcu & Genovese,Andrea Castelli,Andrea Castelli
2,Andrea Castelli,Alcide De Gasperi,Regione,diabete,Gloria Rosati all'Auditorium Fausto Melotti,Prevenzione Salute Tutela Diabete,"Ed.
Curcu & Genovese"
3,Ed .,Vela» fotografie del,Alcide De Gasperi,Cadine,Andrea Castelli,Gloria Rosati,Caro Alcide
4,Alcide De Gasperi,Dante,Dante,Fausto Melotti,Alcide De Gasperi,Cadine,Gloria Rosati
5,Prevenzione Salute Tutela Diabete,Palazzo della Regione,Ed . Curcu,Diabete,Cadine,Pino Loperfido,Cadine
6,Gruppo « La Regola »,Gloria Rosati,Caro Alcide »,,Pino Loperfido,De Gasperi,Fausto Melotti
7,Gloria Rosati,Fausto Melotti,Gloria Rosati,,De Gasperi,Luisa Piccolroaz,Pino Loperfido
8,Pino Loperfido,«Disabilità,Cadine,,Mart,Gruppo « La Regola,De Gasperi
9,De Gasperi,Associazione «Prevenzione Salute Tutela Diabete»,Fausto Melotti,,Vela,Tiziana Andretti,Luisa Piccolroaz
10,Luisa Piccolroaz,De Gasperi,Pino Loperfido,,Alcide,,L'Associazione «Prevenzione Salute Tutela Diabete
11,Vela,Mart,Luisa Piccolroaz 0464.434209,,Ed,,Tiziana Andretti
12,Tiziana Andretti,Gruppo «,Mart,,Tiziana Andretti,,
13,,Pino Loperfido,Vela,,,,
14,,«,De Gasperi,,,,
15,,Tiziana Andretti,Genovese,,,,
16,,,348.2399999,,,,
