,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Opera,»,destrutturare,Trento,Università fondi all'Opera,Opera,Consulta
1,cda,S. Michele,Comunisti,Corte Costituzionale,S. Michele,cda,La Provincia
2,Appa,Comunisti italiani Sgobio,Trento,ministero della Salute,Gentiloni,Appa,Opera
3,Università,Stato,dell'Istituto,euro,Corte Costituzionale,Istituto agrario di S,Trento
4,Agenzia provinciale per la protezione dell' ambiente,Agenzia provinciale,provinciale,,Sgobio,Agenzia provinciale per la protezione dell' ambiente,Istituto agrario di S. Michele
5,Corte Costituzionale,Gentiloni,Salute,,,Corte Costituzionale,Gentiloni
6,ministero della Salute,«,Corte,,,Comunisti italiani Sgobio,Corte Costituzionale
7,Stato,Corte Costituzionale,Gentiloni,,,ministero della Salute,Sgobio
8,Opera universitaria di Trento,,Provincia ricorrerà,,,Michele,italiani
9,Comunisti italiani,,S . Michele,,,Gentiloni,
10,Gentiloni,,Consulta,,,Consulta,
11,Istituto agrario di S. Michele,,Provincia,,,Opera universitaria di Trento,
12,Consulta,,,,,Provincia,
13,Sgobio,,,,,,
