,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Buffon,Castroni,Vaio,Materazzi,Vaio,'st Di Vaio,Castroni
1,ITALIA,Europei,Castroni,Buffon,Buffon,Castroni,Buffon
2,Lippi,Buffon,Buffon,ITALIA,Lippi,Buffon,ITALIA
3,Di Vaio,Gilardino,Gilardino,Acquafresca,Corradi,ITALIA,Gilardino
4,Acquafresca,Lippi,Lippi,Perrotta,Acquafresca,Gilardino,Lippi
5,Materazzi,Corradi,Corradi,Di Vaio,Toni,Lippi,Corradi
6,Corradi,U.,Toni,Bonera,Di Vaio,Corradi,Under
7,Totti,Toni,Momentè,Pancaro,Momentè,Under 18,Cannavaro Materazzi Pancaro
8,Toni,Perrotta,Acquafresca,Gilardino,Gilardino,Toni,Toni
9,U. 18,Di Vaio,Blasi De Rossi,Zambrotta,Zambrotta,Perrotta,Perrotta
10,Gilardino,Momentè,Bonera Cannavaro Materazzi Pancaro,azzurro,Blasi De Rossi,Di Vaio,Di Vaio
11,Zambrotta,Vaio 32'st,Totti,Cannavaro,Bonera Cannavaro Materazzi Pancaro,Momentè,Momentè
12,Consigli,Blasi De Rossi,,Totti,Consigli,Acquafresca,Bonera
13,Castroni,Acquafresca,,,Totti,Zambrotta,Acquafresca
14,Under 18,Zambrotta,,,,Blasi De Rossi,Zambrotta
15,Perrotta,Perrotta 42'st Zambrotta,,,,Bonera Cannavaro Materazzi Pancaro,Blasi De Rossi
16,Bonera,Consigli,,,,Consigli,Totti
17,Pancaro,Totti,,,,Totti,
18,De Rossi,,,,,,
19,Blasi,,,,,,
20,Cannavaro,,,,,,
21,Momentè,,,,,,
