,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,chelsea,Adrian Mutu,chelsea LONDRA,chelsea,Adrian Mutu,chelsea LONDRA,chelsea
1,Adrian Mutu,Abramovich,Adrian Mutu,Adrian Mutu,Abramovich,Adrian Mutu,Abramovich
2,Abramovich,Calceranica,Jose Mourinho .,Calceranica,Jose Mourinho,Abramovich,Calceranica
3,VIGLIONE,Jose Mourinho,rumeno,uragani,LONDRA,VIGLIONE,Jose Mourinho
4,Calceranica,LONDRA,Juve,Jose Mourinho,Bce,Calceranica,LONDRA
5,Jose Mourinho,Juve,Bce,LONDRA,Golfo del Messico,Jose Mourinho,Juve
6,Juve,Calisio,Golfo del Messico,Bce,Londra,Juve,Golfo del Messico
7,Bce,Golfo del Messico,Londra,Golfo del Messico,Mourinho,Bce,rumeno
8,Calisio,Londra,Mourinho,Londra,Inghilterra,Calisio,Inghilterra
9,Golfo del Messico,Mourinho,Inghilterra,Inghilterra,Mutu,Golfo del Messico,Mutu
10,Mourinho,Inghilterra,Mutu,Trezeguet,Trezeguet,Londra,Trezeguet
11,Mutu,Mutu,Trezeguet,Chelsea,Chelsea,Mourinho,
12,Trezeguet,Trezeguet,SINISGALLI,,,Inghilterra,
13,SINISGALLI,Chelsea,Chelsea,,,Mutu,
14,Chelsea,La Bce,,,,Trezeguet,
15,,,,,,SINISGALLI,
16,,,,,,Chelsea,
