,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,"Corpo musicale "" Città di Trento",»,Ivan,petrolio,Ivan,"Corpo musicale "" Città di Trento",Ivan
1,Federazione,Eurozona,europea Jean - Claude Trichet,Trento,Trento,Federazione,europei
2,Fondo Monetario Internazionale,Federazione,Banda,presidente della banca centrale europea,dell'Economia Domenico Siniscalco,Fondo Monetario Internazionale,Fondo Monetario Internazionale
3,Domenico Siniscalco,Fondo Monetario Internazionale,Federazione,inflazione,Fondo Monetario Internazionale,Domenico Siniscalco,Domenico Siniscalco
4,banda,TRENTO,europea,Fondo Monetario Internazionale,TRENTO,banca centrale europea Jean - Claude Trichet,TRENTO
5,Shell,«,Città di Trento,Domenico Siniscalco,banca centrale europea Jean,Shell,Economia
6,Jean - Claude Trichet,Claude Trichet,straniere Royal Dutch,TRENTO,Claude Trichet,banda TRENTO,Jean - Claude Trichet
7,Golfo del Messico,Shell,Internazionale,uragano Ivan,Shell,Golfo del Messico,Golfo del Messico
8,Royal Dutch,Economia Domenico Siniscalco,Domenico Siniscalco,Jean - Claude Trichet,Golfo del Messico,Royal Dutch,Royal Dutch
9,Banda cittadina,Golfo del Messico,TRENTO,strumento musicale,Royal Dutch,Banda cittadina,Italia
10,banca centrale europea,Jean,sull'inflazione,Golfo del Messico,Italia,Italia,Bce
11,Bce,Italia,Shell,Italia,Bce,Bce,
12,Trichet,Banda,Golfo del Messico,Bce,Trichet,Trichet,
13,Golfo,Bce,durando,Eurozona,Golfo,Golfo,
14,,Trichet,straniere,,Paese,,
15,,Golfo,Bce,,,,
16,,Paese,Golfo,,,,
