,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Truffaut,Truffaut,Cannes,Sandra Ceccarelli,Cannes,Truffaut,Sandra Ceccarelli
1,Sandra Ceccarelli,Sandra Ceccarelli,Sandra Ceccarelli,Stefano Accorsi,Sandra Ceccarelli,Sandra Ceccarelli,Stefano Accorsi
2,Stefano Accorsi,Stefano Accorsi,Truffaut,Luigi Lo Cascio,Truffaut,Stefano Accorsi,Dusevich
3,Dusevich,Dusevich,Stefano Accorsi,Carlo Cassola,Stefano Accorsi,Dusevich,Truffaut.
4,Sam Reimi,Sam Reimi,Sam Reimi,Uomo Ragno,Sam Reimi,Sam Reimi,Sam Reimi
5,Prima Categoria,Luigi Lo Cascio,Luigi Lo Cascio,Maya Sansa,Prima Categoria,Luigi Lo Cascio,Luigi Lo Cascio
6,Luigi Lo Cascio,Pedro Almodovar,Carlo Cassola,Pedro Almodovar,Luigi Lo Cascio,Carlo Cassola,Carlo Cassola
7,Carlo Cassola,Giuseppe Piccioni,Maya Sansa,fumetti,Carlo Cassola,Uomo Ragno,Uomo Ragno
8,Uomo Ragno,Carlo Cassola «,Pedro Almodovar,Giuseppe Piccioni,Uomo Ragno,Maya Sansa,Prima Categoria
9,Maya Sansa,Carlo Mazzacurati,Ragno,Carlo Mazzacurati,Maya Sansa,Pedro Almodovar,Maya Sansa
10,Pedro Almodovar,Maya,Giuseppe Piccioni,Italia,Pedro Almodovar,Giuseppe Piccioni,Pedro Almodovar
11,Giuseppe Piccioni,«,Carlo Mazzacurati,festival di Cannes,Giuseppe Piccioni,Carlo Mazzacurati,Giuseppe Piccioni
12,Carlo Mazzacurati,Italia,Italia,,Carlo Mazzacurati,Italia,Carlo Mazzacurati
13,Trentini,Trentini,Trentini,,Italia,Trentini,Italia
14,,L'Uomo Ragno,,,Trentini,,Trentini
