,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Gruppo Sole24Ore,Scienze,Scienze,Scienze statistiche,Università,Gruppo Sole24Ore,Gruppo Sole24Ore
1,cda,Università,Facoltà,Università di Roma,Cipolletta,cda,Facoltà di Scienze cognitive che ha grossi potenziali
2,Università,Università di Roma,Roma,Sole24Ore,Roma,Università di Roma,100 Longo
3,Università di Roma,Cipolletta,dell'ateneo trentino,Rovereto,Rovereto,Cipolletta,Università di Roma
4,Cipolletta,Rovereto,Rovereto,Scienze cognitive,Martinez,consiglio,Cipolletta
5,consiglio,«Gruppo,italiana,Collio,Collio,Rovereto,Rovereto
6,Facoltà di Scienze cognitive,Martinez,Martinez,trentino,Longo,Facoltà di Scienze cognitive,italiana
7,Martinez,Facoltà di Scienze,Collio,,,Martinez,Martinez
8,Collio,Longo,Longo,,,Collio,Collio
9,Longo,Collio,,,,Longo,laici
10,,,,,,,trentino
