,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Michele Margoni,Brian Adams,Michele Margoni,Brian Adams,Michele Margoni,Michele Margoni,Michele Margoni
1,E. Clapton,Michele Margoni,Vasco,indie rock,Giuliano Bottura,Clapton Pink Floyd Lynyrd Skynyrd Doors Queen Brian Adams,italiano
2,Pink Floyd,Vasco,FRANCO GOTTARDI,chitarra,Luca Terrasi,Vasco,Paolo Passardi
3,Paolo Passardi,Passardi,Passardi,Pink Floyd,Ligabue,FRANCO GOTTARDI,Ligabue
4,Ligabue,Giuliano Bottura,Giuliano Bottura,Lynyrd Skynyrd,Paolo Passardi sull'area,Passardi,Outline
5,Outline,Luca Terrasi,Luca Terrasi,basso,Pelù,Giuliano Bottura,Passardi
6,Contro Senso,E. Clapton Pink Floyd Lynyrd,Queen Brian Adams,Doors,Vela,servizio ambiente,italiane
7,Queen,Paolo Passardi,Ligabue,Ligabue,Alessio Ravanelli,Luca Terrasi,Fuori Rotta
8,Passardi,Pelù,Paolo Passardi,batteria,,Fuori Rotta,Pelù
9,Lynyrd Skynyrd,Vela,Pelù,percussioni,,Ligabue,Litfiba
10,Fuori Rotta,Contro Senso,straniere,Litfiba,,Paolo Passardi,Negrita
11,Pelù,Litfiba,Litfiba,Negrita,,Pelù,E. Clapton Pink Floyd
12,Litfiba,Negrita,Vela,voce,,Outline,Vasco
13,Negrita,Comune,E . Clapton Pink Floyd Lynyrd,Queen,,Contro Senso,FRANCO GOTTARDI
14,Brian Adams,Alessio Ravanelli,Alessio Ravanelli,cori,,Litfiba,Giuliano Bottura
15,Vasco,,,,,Comune,Luca Terrasi
16,FRANCO GOTTARDI,,,,,Vela,italico
17,Giuliano Bottura,,,,,Alessio Ravanelli,Vela
18,servizio ambiente,,,,,,Alessio Ravanelli
19,Luca Terrasi,,,,,,
20,Doors,,,,,,
21,Alessio Ravanelli,,,,,,
