,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Jasmine Estrada Trio,Ds su «Ricerca,Trento,Trento,Trento,Trento,Trento
1,Ds,Radio Rai 2,Jasmine Estrada Trio,Lorenzo Dellai,dj Ornella Frisinghelli,Jasmine Estrada Trio,Jasmine Estrada Trio
2,Lorenzo Dellai,Corso Bettini,Rai,Radio Rai 2,Sala,Ds,Lorenzo Dellai
3,Andrea Ranieri,W. A. Mozart,dell'Ensemble Zandonai,W. A. Mozart,Jasmine Estrada Trio,via Briamasco Maura Pettoruso,Mauro Bondi Andrea Ranieri
4,Radio Rai 2,Mirko Corradini,Corso,Rovereto,Coro,Radio Rai 2,Ds
5,Corso Bettini,Ferdy Lorenzi,Ferdy Lorenzi,Stefano Benni,Idomeneo Re,Corso Bettini,via Briamasco Maura Pettoruso
6,W. A. Mozart,Stefano Benni,Maura Pettoruso,Idomeneo Re di Creta,Corso Bettini,Mirko Corradini,Radio Rai 2
7,Mirko Corradini,Lorenzo Dellai Mauro Bondi Andrea Ranieri,MartCafè,opera lirica,Mirko Corradini,Ferdy Lorenzi,Corso Bettini
8,Ferdy Lorenzi,Briamasco Maura Pettoruso,Rovereto,latino,Ferdy Lorenzi,Coro « Valsella »,Mirko Corradini
9,Coro « Valsella »,Ornella Frisinghelli,Stefano Benni,Andrea Ranieri,Rovereto,Rovereto,Ferdy Lorenzi
10,Maura Pettoruso,Replica,Lorenzo Dellai Mauro Bondi Andrea Ranieri,,Mozart,Mozart,Rovereto
11,Stefano Benni,,Re,,Zandonai,Stefano Benni,Mozart
12,via Briamasco,,Creta,,Stefano Benni,Lorenzo Dellai Mauro Bondi Andrea Ranieri,Stefano Benni
13,Ornella Frisinghelli,,Ornella Frisinghelli,,Lorenzo Dellai Mauro Bondi Andrea Ranieri,Ornella Frisinghelli,americano
14,Mauro Bondi,,W . A . Mozart,,Creta,Ensemble Zandonai,Ornella Frisinghelli
15,Ensemble Zandonai,,Mirko Corradini .,,Briamasco Maura Pettoruso,,Sala della Filarmonica
16,,,Sala della Filarmonica .,,Filarmonica,,Ensemble Zandonai
