,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Apran,Apran,»,Uil,Apran,Apran,Uil
1,D,D,Uil,Trentino,Uil,D,Trentino
2,Uil,Uil,Reno,fuorigioco,Dal Ferro,Uil,Reno Centese
3,Cisl funzione pubblica,Dal Ferro,Trentino,Cisl,Atti ndr,Cisl funzione pubblica,Cisl
4,Dal Ferro,Reno Centese»,Rovereto nell'Arzignano,Arzignano,Rovereto nell'Arzignano,Dal Ferro,Benacense
5,Reno Centese,Trentino,Cisl,Rovereto,Reno Centese,Reno Centese,Rovereto
6,Nursing up,Cisl,Benacense,Fps,comparto sanità,Trentino,Bassano
7,Benacense,Benacense,.,,Cisl,Benacense,Arzignano
8,Fps Cisl,Fps Cisl,. Donà,,Trentino,Fps Cisl,Toccoli
9,S. Donà,S. Donà,Roberto Vivian,,S. Donà,Roberto Vivian,Roberto Vivian segretario Fps Cisl
10,Arzignano,Arzignano,Rovereto,,Rsu,Arzignano,Vivian
11,Bassano,Bassano,Bassano,,Bassano,Bassano,arcense
12,Rovereto,Rovereto,Toccoli,,Roberto Vivian segretario Fps Cisl,Rovereto,
13,Toccoli,Toccoli,Ferro,,Vivian,Donà,
14,Atti,Roberto Vivian,Vivian -,,sanità,Toccoli,
15,Rsu,Vivian,l'Apran,,,Rsu,
16,Roberto Vivian,,,,,Vivian,
17,Vivian,,,,,,
