,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Servizio foreste e fauna,Gianluca Dissegna,Saddam,Audi A4,Paolo Postai trascina,Servizio foreste e fauna,Saddam
1,Gianluca Dissegna,Dissegna,S . Michele l'Università,pubblico ministero,Saddam,Gianluca Dissegna,Gianluca Dissegna
2,Dissegna,Università,Alessandra Liverani,Bologna,Gianluca Dissegna,Dissegna,Dissegna
3,Saddam,Sica,Gianluca Dissegna,Guardia di Finanza,S. Michele,Università,Sica
4,Università,Servizio foreste,Dissegna,Cnr,Sica,Sica,Cnr di S. Michele
5,Sica,Cnr di S. Michele,Sica,,Sica srl,Sica srl,Sica srl
6,Sica srl,Magnifica Comunità,Bologna,,Magnifica Comunità,Magnifica Comunità,Magnifica Comunità
7,Magnifica Comunità,Bologna,Guardia di Finanza,,Bologna,Bologna,Bologna
8,Guardia di Finanza,Guardia di Finanza,Cnr,,ministero Alessandra Liverani,Guardia di Finanza,Guardia di Finanza
9,Cnr,Alessandra Liverani,Comunità,,Sica un'Audi A4 Avant,Cnr,Alessandra Liverani
10,Alessandra Liverani,Paolo Postai,Paolo Postai,,Guardia di Finanza,Alessandra Liverani,Paolo Postai
11,Paolo Postai,,,,Sica fallì,Paolo Postai,Audi
12,,,,,Cnr,,
