,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Piazza Municipio,»,Alta Vallagarina,,Piazza Municipio,Piazza Municipio,Piazza Municipio
1,Piazza E. Fruet,Piazza Municipio,Riva del Garda,,Piazza E. Fruet,Alta Vallagarina,Piazza E. Fruet
2,PROMOZIONE,Piazza E. Fruet,Calcio Bleggio,,Alta Vallagarina,Riva del Garda,Riva del Garda
3,Alta Vallagarina,Alta Vallagarina,Rudy Prandi rifila,,Coro,Condinese Riva del Garda,"Condinese
Riva del Garda"
4,Riva del Garda,Calcio Bleggio,.,,vigilia Riva,Calcio Bleggio TRENTO,Alta
5,Calcio Bleggio,Riva del Garda,Calcio Bleggio TRENTO,,TRENTO,Coro « Marco Garbin »,Piazza E. Fruet «Alla ricerca dell'oro della Fersina
6,Coro « Marco Garbin »,«Neves,. Fruet,,Rudy Prandi,Piazza E,Rudy Prandi
7,Rudy Prandi,Rudy Prandi,Neves,,Neves,Rudy Prandi,Neves
8,Condinese,Piazza E. Fruet «,Vallagarina,,Garda,Neves e il suo gruppo,Vallagarina
9,Neves e il suo gruppo,,Promozione,,Marco Garbin,Promozione,Piazza Municipio del Coro
10,Promozione,,Marco Garbin,,,,Marco Garbin
11,,,del Coro,,,,Alta Vallagarina vittoriosa
