,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Massimo Egidi,Massimo Egidi,Massimo Egidi,Lorenzo Dellai,Massimo Egidi,Massimo Egidi,Massimo Egidi
1,consiglio di amministrazione,Lorenzo Dellai,Lorenzo Dellai,ABC,Lorenzo Dellai,consiglio di amministrazione,Lorenzo Dellai
2,Lorenzo Dellai,Università,Dino,Innocenzo Cipolletta,ANDREA TOMASI,Università,Università Cipolletta
3,ANDREA TOMASI,Università Cipolletta,Cipolletta,Neonatologia,Università Cipolletta,Cipolletta,"Di ANDREA TOMASI
Innocenzo Cipolletta"
4,Università,Andreolli»,.,Allattamento materno,ABC,Amici della Neonatologia Trentina,ABC
5,Cipolletta,Innocenzo Cipolletta,Neonatologia,,Innocenzo Cipolletta,Dino Pedrotti,Dino Pedrotti
6,Innocenzo Cipolletta,Dino Pedrotti,Pedrotti,,Dino Pedrotti,Pedrotti,Pedrotti
7,Amici della Neonatologia Trentina,,ANDREA TOMASI Innocenzo Cipolletta,,Pedrotti,ANDREA TOMASI Innocenzo Cipolletta,Andreolli
8,Dino Pedrotti,,realizzarmi,,Andreolli,giunta provinciale Lorenzo Dellai,
9,Pedrotti,,Andreolli,,,Andreolli,
10,giunta provinciale,,,,,,
11,Andreolli,,,,,,
