,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Istituto di Scienze Religiose,Curcu & Genovese,Centro,sunnita,Sito Web,Istituto di Scienze Religiose,Barbacovi
1,Gibson,Andrea Castelli,Castelli,cristiano ortodosso,Chiara,Gibson,Centro
2,Andrea Castelli,Renato Morelli,Andrea Castelli,sciita,Castelli,Trento,Castelli
3,Rai,Alcide De Gasperi,Alcide De Gasperi,Mel Gibson,Alcide,Andrea Castelli,Oriente
4,Renato Morelli,K2,Mel Gibson,,Gesù,Renato Morelli,Andrea Castelli
5,Alcide De Gasperi,Mel Gibson,Istituto di,,Andrea Castelli,De Gasperi TRENTO,Renato Morelli
6,Itc,The Passion,Tel,,Renato Morelli,Itc,Alcide De Gasperi
7,Mel Gibson,Teatro Cuminetti,trentino,,Alcide De Gasperi,Mel Gibson,aramaica
8,Marco Baldi,Tel,Trento,,Mel Gibson,Marco Baldi,Mel Gibson
9,Ucai,Trento,Rai,,Teatro Cuminetti,Ucai,Ucai
10,Mastro 7,Mastro,sciita,,Assisi,Mastro 7,Trento - Tel
11,via Barbacovi 4,Pino Loperfido,Pino Loperfido,,Trento,Castelli,trentino
12,Castelli,Fax,Genovese,,via Barbacovi,via Barbacovi 4 38100 Trento,Istituto di Scienze Religiose
13,De Gasperi,Chiara d'Assisi,Chiara d'Assisi,,Itc,,Trento
14,Edizioni Curcu & Genovese,Seminario,Gibson,,Mastro,,Caro Alcide
15,Pino Loperfido,Gibson,l'Itc,,Pino Loperfido,,Itc
16,,«Caro Alcide»,De Gasperi TRENTO,,Gibson,,Pino Loperfido
17,,Marco Baldi,Caro Alcide »,,TRENTO,,Chiara d'Assisi
18,,De Gasperi,Marco Baldi,,Marco Baldi,,Religion Today
19,,Centro Bernardo Clesio,trentino Renato Morelli,,Edizioni Curcu & Genovese,,"De Gasperi
TRENTO"
20,,,De Gasperi,,De Gasperi,,Bernardo Clesio
21,,,Centro Bernardo Clesio,,Sede Rai,,Marco Baldi
22,,,,,Centro Bernardo Clesio,,Edizioni Curcu & Genovese
23,,,,,,,Struttura Programmi della Sede Rai
24,,,,,,,Cuminetti
