,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Lagat,Lagat,Lagat,Doris Tomasini,Lagat,Lagat,Lagat
1,Niederstätter,Italiani,L'ucraina Sidorenko,islandese,russa Zabruskova,Niederstätter,Italiani
2,Artuso,Lister,russa Zabruskova,serie B,Artuso,Artuso,Artuso
3,Lister,Kenta Bell,Lister,Niederstätter,Kenta Bell,Lister,Kenta Bell
4,Kenta Bell,Doris Tomasini,Kenta Bell,Anna Rogowska,Anna Rogowska,Kenta Bell,americani
5,Dal Ri,METRI,trentine Berlanda,statunitense,Atene,Dal Ri,russa
6,Doris Tomasini,Zabruskova,russa,Atene,roveretana Doris Tomasini,Doris Tomasini,Doris Tomasini
7,Zabruskova,Anna Rogowska,Doris Tomasini,ucraina,Glover,Zabruskova,europea
8,Anna Rogowska,DONNE,slovena,Tschurtschenthaler,Coslovich,Anna Rogowska,Zabruskova
9,Elisdottir,Atene,Atene,,Ceplak,Elisdottir,Elisdottir 4.60
10,Glover,Glover,Taylor statunitense,,Berlanda,Glover,Anna Rogowska
11,Coslovich,Berlanda,slovena Ceplak,,La giamaicana Bailey,Coslovich,Atene
12,Ceplak,GIAVELLOTTO,Glover,,ucraina Sidorenko,Ceplak,roveretana
13,Berlanda,Braccio,Glover statunitense,,Olimpiadi,Berlanda,keniana
14,Bikert,Weissteiner,Coslovich,,Braccio,Bikert,Glover
15,Weissteiner,Bailey,Trial americani,,altoatesine Weissteiner,Weissteiner,Coslovich
16,Bailey,Donato,polacca Anna Rogowska,,Ri,Bailey,Berlanda
17,Sidorenko,Taylor,polacca,,Donato,Sidorenko,islandese
18,serie B,Pirek,Weissteiner,,Taylor,serie B,Bikert
19,Donato,Tschurtschenthaler,trentine,,ASTA,Donato,statunitense
20,Taylor,,Bailey,,Tschurtschenthaler,Taylor,polacca
21,Pirek,,Ri,,,Pirek,Weissteiner
22,Tschurtschenthaler,,L'ucraina,,,Tschurtschenthaler,Ri
23,,,Donato,,,,italiana
24,,,Taylor,,,,Donato
25,,,Tschurtschenthaler,,,,Taylor
26,,,l'altoatesina Niederstätter,,,,Pirek 4.72
27,,,,,,,Tschurtschenthaler
28,,,,,,,METRI / L'ucraina Sidorenko
