,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Madonna,Luigi Bressan,montanara,Trento,Madonna,Madonna,Ezra Pound
1,Ezra Pound,Frankie Hi Nrg»,.,metalli pesanti,Mick Jagger,Luigi Bressan,Luigi Bressan
2,Luigi Bressan,Roncalli,Roncalli,Luigi Bressan,Frankie,Frankie Hi Nrg,Roncalli
3,Abate,Antonio Bergamini,Antonio Bergamini,Mick Jagger,Roncalli poi Papa Giovanni XXIII,Osaka Ezra Pound,Antonio Bergamini
4,Frankie Hi Nrg,Gigi Zoppello,Gigi Zoppello,Ezra Pound,Luigi Bressan,Duran Duran,Gigi Zoppello
5,Poeta Ignoto,Osaka Ezra Pound,Frankie Hi Nrg,punk,Breviario europeo sugli Altri,Giovanni XXIII,Frankie Hi Nrg
6,Duran Duran,Duran Duran,Occidente,nu - metal,Carmine Abate autore de,Carmine Abate,B.V.
7,Giovanni XXIII,Carmine Abate,Duran Duran,rock - and - roll,Trento al Salento,Cardini,Occidente
8,Osaka,Franco Cardini,Carmine Abate,Duran Duran,Poeta Ignoto,Depero,Duran Duran
9,Carmine Abate,Islam,Franco Cardini,Osaka,B.V,Franco Cardini,Giovanni XXIII
10,Cardini,»,Osaka Ezra,Carmine Abate,Depero,Roncalli,Carmine Abate
11,Depero,Faida»,Trento al Salento,Franco Cardini,Franco Cardini,Antonio Bergamini,Franco Cardini
12,Franco Cardini,Poeta Ignoto,. Poeta,Papa Giovanni XXIII,Osaka Ezra Pound versione nu,Gigi Zoppello,Trento
13,Roncalli,Cardini,Cardini,Islam,Islam,,Mick Jagger
14,Antonio Bergamini,Papa Giovanni XXIII,Papa Giovanni XXIII,Salento,Gigi,,Osaka
15,Gigi Zoppello,«,Mick Jagger,funghi,Antonio Bergamini,,Minoranzero
16,,«Occidente,Frankie Hi,Fight da Faida,,,Depero
17,,Depero,mons . Luigi Bressan,arcivescovo,,,Madonna delle Grazie
18,,Salento,Osaka,,,,Salento
19,,,Depero,,,,
