,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Ds,Private Consult,Federazione,Enrico Morando,Torre,via Dante 17,Ds
1,via Dante 17,Dante,Dante,Rovereto,Conforti Calzature,Associazione Pranic Healing,Associazione Pranic Healing
2,Associazione Pranic Healing,Assemblea del,Verde,Osiride,Rosmini,Debiasi,Centro
3,Debiasi,Associazione Pranic Healing,Rosmini,Pranic Healing,Centro,America via Torre Verde 52,Enrico Morando
4,via Torre Verde 52,Rovereto,.,Everest,via Dante,Rovereto,Giuseppe Debiasi
5,Enrico Morando,Ds Enrico Morando,Comitato,,Associazione Pranic Healing,Ds Enrico Morando,via Dordi
6,Morando,Solteri,Rovereto,,via Perini,Morando,Debiasi
7,via Dordi 8,Comitato Genitori,Enrico Morando,,Rovereto,via Dordi 8,Rovereto
8,Giuseppe Debiasi,Osiride,Conforti,,Ds Enrico Morando,Giuseppe Debiasi,Morando
9,Comitato Genitori,via Dordi 8,Morando,,Osiride,Comitato Genitori,Alpini
10,Consiglio di Istituto,Giuseppe Debiasi,America,,America,Consiglio di Istituto,Hotel Everest
11,corso Alpini 16,Studio Associato,Giuseppe Debiasi,,Giuseppe Debiasi,corso Alpini 16,Private Consult
12,scuola elementare dei Solteri,Consiglio di Istituto,Consiglio,,Comitato Genitori,scuola elementare dei Solteri,Riformisti
13,via Perini 43,Conforti Calzature,Istituto,,Istituto,via Perini 43,Comitato Genitori
14,,Hotel Everest,,,All'Hotel Everest,,Hotel America via Torre Verde 52
15,,,,,via Dordi,,Conforti Calzature
16,,,,,,,via Dante 17
17,,,,,,,Rosmini
18,,,,,,,via Perini 43
