,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,Tint Entities,Google Cloud Entities
0,Ljubijankic,Maria Serena Tait,Olle Valsugana,Zambelli,Maria Serena Tait,Olle Valsugana,Olle Valsugana
1,Kelar,Grecia,Maria Serena Tait . Ljubojevic,Valsugana,ARCO,Giulio Andreoli,Giulio Andreoli
2,Berni,Arco,Giulio Andreoli,Grecia,Arco,Carlo Marzani,Ljubojevic
3,Birsa,Alcide De Gasperi,Carlo Marzani,Alcide De Gasperi,Alcide De Gasperi,filodrammatica,Carlo Marzani
4,Giulio Andreoli,Bruno Vanzo,Claudia Tomasini,Birsa,Bruno Vanzo,Claudia Tomasini,Claudia Tomasini
5,Ljubojevic,Olle Valsugana,Birsa . Berni Piccolo Zambelli Loviso,Giulio Andreoli,Olle Valsugana,Maria Serena Tait,"GIANLUCA DE MASI
ARCO"
6,Corvia,Cecilia Ruele,Alcide De Gasperi,Loviso,Cecilia Ruele,Alcide De Gasperi,Maria Serena Tait
7,Carlo Marzani,Giovanna Rosso,Birsa . Berni Piccolo Zambelli Loviso Nocerino,,Berni,Berni Piccolo Zambelli Loviso Nocerino Pepe Corvia,Alcide De Gasperi
8,filodrammatica,Mario Cagol,Sella Valsugana,,QUI ARCO,GIANLUCA DE MASI,Berni Piccolo Zambelli Loviso Nocerino Pepe Corvia
9,Claudia Tomasini,Giulio Andreoli,GIANLUCA DE MASI,,Giovanna Rosso,Sella Valsugana,Sella Valsugana
10,Maria Serena Tait,Italo Salvador,Grecia,,Mario Cagol,Grecia,ferrarese
11,ARCO,Lucia De Gasperi,Bruno Vanzo,,Giulio Andreoli,Bruno Vanzo,Grecia
12,Alcide De Gasperi,Carlo Marzani,Birsa . Berni Piccolo Zambelli Loviso Nocerino Pepe Corvia .,,Italo Salvador,Cecilia Ruele,Bruno Vanzo
13,Pepe,Sella Valsugana,Cecilia Ruele,,Lucia De Gasperi,Giovanna Rosso,Cecilia Ruele
14,GIANLUCA DE MASI,Claudia Tomasini,Birsa . Berni Piccolo Zambelli Loviso Nocerino Pepe,,Carlo Marzani,Briakos,Giovanna Rosso
15,Bruno Vanzo,,Giovanna Rosso,,Zambelli Loviso Nocerino Pepe Corvia,Mario Cagol,Briakos
16,Cecilia Ruele,,Mario Cagol,,Claudia Tomasini,Arco,Mario Cagol
17,Jesenicnik,,GIANLUCA DE,,,Ljubojevic Beciri Jesenicnik Kelar Ljubijankic Vrsic Birsa,Arco
18,Giovanna Rosso,,Italo Salvador,,,Italo Salvador,Beciri Jesenicnik Kelar Ljubijankic Vrsic Birsa
19,Briakos,,Lucia De Gasperi,,,Lucia De Gasperi,Italo Salvador
20,Mario Cagol,,Birsa . Berni Piccolo,,,,Lucia De Gasperi
21,Vrsic,,Birsa . Berni Piccolo Zambelli Loviso Nocerino Pepe Corvia . Briakos,,,,
22,Loviso,,,,,,
23,Arco,,,,,,
24,Zambelli,,,,,,
25,Beciri,,,,,,
26,Piccolo,,,,,,
27,Nocerino,,,,,,
28,Italo Salvador,,,,,,
29,Lucia De Gasperi,,,,,,
