,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Indian Ocean,John Warner,Bush,John Warner,John Warner,John Warner,John Warner,John Warner,John Warner
1,Ritchie,Bush,U.S,2008 elections,Bush,Bush,Bush,Bush,Bush
2,Senate Armed Services Committee,Indian Ocean,Bush's,Republican,Indian Ocean,Ocean,Ritchie,Democrats,Indian Ocean
3,United Nations,Ritchie,Ritchie,Senate Armed Services Committee,Ritchie,Ritchie,Senate Armed Services Committee,Indian Ocean,Ritchie
4,Senator John Warner,Virginia,Senate Armed Services Committee,United Nations,Virginia,Republican,United Nations,Ritchie,Virginia
5,Warner,Senate Armed Services Committee,United Nations,"Charlotte.
Ritchie",Senate Armed Services Committee,Senate Armed Services Committee,Senate,Virginia,Senate Armed Services Committee
6,President Bush,Senate,Senate,Good Charlotte,Senate,University,Charlotte,Republican,Senate
7,Senate,Warner,Warner,U.S. Senator,Warner,Warner,U.S.,United Nations,Warner
8,Good Charlotte,Good Charlotte,Charlotte,war in Iraq,United Nations,Senate,Joel Madden,Good Charlotte,Good Charlotte
9,Joel Madden,U.S.,Joel Madden,Joel Madden,Good Charlotte,United Nations,the University of Virginia,U.S.,U.S.
10,Virginia,The United Nations,John Warner of,U.S. senator,U.S.,Good Charlotte,Virginia,Senate Armed Services Committee,The United Nations
11,Navy,the University of Virginia,Virginia,driving under the influence,Joel Madden,U.S.,Navy,Navy,the University of Virginia
12,Mr. Bush,Joel Madden,Republicans,University of Virginia,Navy,Joel Madden,Iraq,Iraq,Joel Madden
13,Iraq,Navy,Iraq,,Mr. Bush,Indian,,University of Virginia,Navy
14,University of Virginia,Iraq,University of Virginia,,Iraq,Virginia,,,Iraq
15,,,,,University of Virginia,Navy,,,
16,,,,,,Mr. Bush,,,
17,,,,,,Iraq,,,
