,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Karbala,Karbala,Karbala,Karbala,Karbala,Karbala,Karbala,Muhammad,Karbala
1,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador
2,Prodi,Prodi,Mr,roadside bomb,Prodi,Iraqi,Prodi,Karbala,Prodi
3,Shi'ite,Ashura,Prodi,Shi'ite,Muhammad,Romano Prodi,Romano Prodi,Iraqi,Ashura
4,Romano Prodi,Romano Prodi,Romano Prodi,Romano Prodi,Romano Prodi,Ashura,Baghdad,Baghdad,Romano Prodi
5,Shi'ite Muslim,Baghdad,Prophet Muhammad,Shi'ite Muslim,Shi'ite Muslim,Baghdad,Silvio Berlusconi,Silvio Berlusconi,Baghdad
6,Baghdad,Silvio Berlusconi,Baghdad,Baghdad,Baghdad,Silvio Berlusconi,Sadr City,Sadr City,Silvio Berlusconi
7,Prime,the Prophet Muhammad,Silvio Berlusconi,Silvio Berlusconi,Silvio Berlusconi,Prophet Muhammad,Red Solidaria,New Baghdad,the Prophet Muhammad
8,Silvio Berlusconi,Sadr City,Berlusconi,Ashura,Sadr City,Sadr City,New Baghdad,Italian,Sadr City
9,Prophet Muhammad,Red Solidaria,Sadr City,Prophet Muhammad,Mr. Berlusconi,Red Solidaria,Berlusconi,Salvadorans,Red Solidaria
10,eastern Baghdad,New Baghdad,New Baghdad,Shi'ites,New Baghdad,Mr. Berlusconi,Iraq,,New Baghdad
11,Sadr City,Berlusconi,El,Sadr City,Iraq,New Baghdad,,,Berlusconi
12,Red Solidaria,Iraq,Solidaria,New Baghdad,,Italian,,,Iraq
13,Mr. Berlusconi,,,Iraqi police,,Iraq,,,
14,New Baghdad,,,useful idiot,,,,,
15,Iraq,,,Iraq,,,,,
