,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Chrysler,Felipe Calderon,U.S,Chrysler,Felipe Calderon,Chrysler,Felipe Calderon,Felipe Calderon,Felipe Calderon
1,Israel,Chrysler,Chrysler,Gaza,Chrysler,Gaza,Chrysler,Chrysler,Chrysler
2,Gaza,Calderon,Mr,Pentastar,Israel,Pentastar,Calderon,Hamas,Calderon
3,Hamas,Gaza,Felipe Calderon,Jeep,Gaza,Chrysler Dodge Jeep,Gaza,Mahmoud Abbas,Gaza
4,President Mahmoud Abbas,Hamas,Calderon,Ismail Haniyeh,Hamas,Ismail Haniyeh,Hamas,Israeli,Hamas
5,Gaza Strip,Mahmoud Abbas,Sunday Palestinian,Fatah,Chrysler Dodge Jeep and Ram,Mexican,Chrysler Dodge Jeep,Gaza Strip,Mahmoud Abbas
6,President Felipe Calderon,Gaza Strip,Gaza,Panama City,Mahmoud Abbas,Fatah,Mahmoud Abbas,Ismail Haniyeh,Gaza Strip
7,U.S.,Ismail Haniyeh,Chrysler Dodge Jeep,Israel,Israeli,Panama City,Gaza Strip,Dodge,Ismail Haniyeh
8,Fatah,U.S.,Mahmoud Abbas,Israeli army,Gaza Strip,Israel,Ismail Haniyeh,U.S.,U.S.
9,Mr. Calderon,Saltillo,Chrysler's,rocket launcher,Ismail Haniyeh,Hamas,U.S.,Saltillo,Saltillo
10,Mr. Castro,Fatah,Ismail Haniyeh,Hamas,U.S.,U.S.,Saltillo,Fatah,Fatah
11,Panama City,Panama City,Saltillo,Dodge,Fatah,Mr. Castro,Panama City,Panama City,Panama City
12,Mexico,Israel,Fatah,Ram,Mr. Castro,Ram,Israel,Ram,Israel
13,Prime Minister Ismail Haniyeh,Castro,Panama City,Mexico,Panama City,Mexico,Castro,Castro,Castro
14,,Mexico,Israel,Palestinian Prime Minister,Mexico,Gaza Strip,Mexico,Mexico,Mexico
15,,Ram,Castro,Gaza Strip,Mr. Calderon,Saltillo,,Palestinian,
16,,,Mexico,Saltillo,Palestinian,Palestinian,,,
17,,,,Palestinian,,Felipe Calderon,,,
18,,,,Felipe Calderon,,Mahmoud Abbas,,,
19,,,,Ibero-American summit,,Israeli,,,
20,,,,Mahmoud Abbas,,Mr. Calderon,,,
21,,,,V-6 engine,,,,,
