,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Abdul Qadeer Khan,Abdul Qadeer Khan,Abdul Qadeer Khan,Abdul Qadeer Khan,Abdul Qadeer Khan,Abdul Qadeer Khan,Abdul Qadeer Khan,Democrats,Abdul Qadeer Khan
1,APEC,the World Trade Organization's,Washington,Iran,Asia Pacific,Washington,U.S. Army,U.S. Army,the World Trade Organization's
2,Nancy-Amelia Collins,Washington,Trade,Halliburton company,U.S. Army,Energy,APEC,Nancy-Amelia Collins,Washington
3,Army,Libya,U.S,APEC,APEC,APEC,Nancy-Amelia Collins,APEC,Libya
4,Islamabad,house,Energy,black market,Islamabad,North Korea,Islamabad,Islamabad,the Asia Pacific Economic Cooperation Business Advisory Council
5,Khan,the Asia Pacific Economic Cooperation Business Advisory Council,APEC,Islamabad,Khan,ABAC,North Korea,North Korea,APEC
6,World Trade Organization,APEC,North Korea,climate change,North Korea,U.S.,ABAC,World Trade Organization,North Korea
7,Asia Pacific Economic Cooperation Business Advisory Council,North Korea,Pakistan,North Korea,World Trade Organization,Pakistan,U.S.,U.S.,ABAC
8,VOA,ABAC,Iraq,World Trade Organization,U.S.,APEC Business Advisory Council,Asia Pacific Economic Cooperation Business Advisory Council,VOA,U.S.
9,ABAC,U.S.,Pakistani,VOA,VOA,Iraq,Iran Libya,Iran Libya,Pakistan
10,Washington,Pakistan,Islamabad,Energy security,Iran Libya,Pakistani,Washington,Washington,Iraq
11,Pakistan,Iraq,Khan,Pakistan,Washington,Army,Pakistan,Pakistan,U.S. Army
12,APEC Business Advisory Council,U.S. Army,U.S . Army,Libya,Pakistan,Islamabad,VOA,APEC Business Advisory Council,Islamabad
13,Sydney,Islamabad,Representatives,Amelia Collins,APEC Business Advisory Council,Khan,APEC Business Advisory Council,ABAC,Khan
14,Iraq,Khan,Amelia Collins,Iraq,Amelia Collins,World Trade Organization,Sydney,Asia Pacific Economic Cooperation Business Advisory Council,the APEC Business Advisory Council
15,Halliburton,the APEC Business Advisory Council,VOA's Nancy,Halliburton,Sydney,VOA,Iraq,Sydney,Nancy-Amelia Collins
16,,Nancy-Amelia Collins,Iran Libya,Asia Pacific Economic Cooperation,Iraq,Iran Libya,Halliburton,Iraq,Iran
17,,Iran,Asia Pacific Economic Cooperation Business,,Halliburton,Asia,,Halliburton,VOA
18,,VOA,Asia,,,Sydney,,,Sydney
19,,Sydney,Sydney,,,Halliburton,,,Halliburton
20,,Halliburton,Halliburton,,,,,,
