,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Trinidad,Trinidad,Trinidad,Trinidad,Trinidad,Trinidad,Trinidad,Somali,Trinidad
1,India,India,India,India,India,India,India,India,India
2,Somalia,Somalia,Somalia,Somali,Somalia,Somali,Somalia,Trinidad,Somalia
3,Spain,Spain,Panamanian,Somalia,Spain,Kenyan,Spain,Kenyan,Spain
4,France,France,Spain,Spain,France,Spain,France,France,France
5,China,China,France,France,China,Somalia,China,China,China
6,Kenya,Kenya,China,China,Kenya,France,Kenya,Spain,Kenya
7,Fernando Andreu,Fernando Andreu,Kenya,Kenya,Fernando Andreu,China,Fernando Andreu,Panamanian,Fernando Andreu
8,Caribbean,Caribbean,Fernando Andreu,Fernando Andreu,Spanish,Fernando Andreu,Caribbean,Spanish,Caribbean
9,Tobago,Tobago,Spanish,petroleum,Caribbean,Spanish,Tobago,Caribbean,Manpower
10,,,Caribbean,Somali pirates,Tobago,Caribbean,,Manpower,Tobago
11,,,Tourism,natural gas,,Tourism,,,
12,,,Tobago,,,Manpower,,,
13,,,,,,Tobago,,,
