,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Far East Khabarovsk,Far East Khabarovsk,U.S,Afghan President,Far East Khabarovsk,Barack Obama,Far East Khabarovsk,Far East Khabarovsk,Far East Khabarovsk
1,Moscow,Barack Obama,Barack Obama,Barack Obama,Ukraine Russia,Hamid Karzai,Barack Obama,Barack Obama,Barack Obama
2,Barack Obama,Hamid Karzai,Hamid Karzai,Hamid Karzai,Moscow,Sevastopol,Hamid Karzai,Hamid Karzai,Hamid Karzai
3,Sevastopol,Sevastopol,Sevastopol,Sevastopol,Barack Obama,Ukraine,Sevastopol,Sevastopol,Sevastopol
4,Ukraine,Ukraine,Ukraine's,Ukraine,Hamid Karzai,Washington,Ukraine,Cairo,Ukraine
5,Cairo,Cairo,Russia,Russia,Sevastopol,Ukrainian,Cairo,Russia,Cairo
6,Russia,Russia,East Khabarovsk,U.S. President,Ukraine,Egypt,Russia,Afghan,Russia
7,President Hamid Karzai,U.S.,Russia's,western alliance,Cairo,Black Sea,U.S.,Soviet,U.S.
8,U.S.,NATO,NATO,frigate,Russia,Far East Khabarovsk,NATO,U.S.,NATO
9,NATO,Washington,Washington,NATO,U.S.,U.S.,Washington,NATO,Washington
10,Washington,navy,Cairo Sunday,Black Sea fleet,NATO,NATO,navy,Washington,the Black Sea
11,Crimea,the Black Sea,Crimea,Su-24,Washington,Possible,Crimea,Yankee,Crimea
12,Air force,Crimea,Yankee,Yankee go home,Yankee,Moscow,Moscow,Crimea,Moscow
13,Black Sea,Moscow,Moscow,Crimea,Crimea,Ukraine Russia,Egypt,Ukrainian,Egypt
14,,Egypt,Ukraine Russia,Ukrainian,Ukrainian,Cairo,Ukraine Russia,Moscow,Black Sea
15,,Black Sea,,Moscow,Air force,Air,,Egypt,
16,,,,Egypt,Egypt,Yankee,,Black Sea,
17,,,,Black Sea,Black Sea,Russia,,,
18,,,,,,Afghan,,,
19,,,,,,Soviet,,,
