,True Entities,Spacy Entities,Polyglot Entities,Dandelion Entities,NaturalLanguage Entities,NLTK Entities,Stanford Entities,Google Cloud Entities,Stanza Entities
0,Prophet Muhammad,India,Malaysian,death squad,Muhammad,British,Fujimori Peru,British,India
1,Muslim Faith,Fujimori Peru,Kenyan,India,British Embassy,Abdullah Ahmad Badawi,British Embassy,Abdullah Ahmad Badawi,The British Embassy
2,Middle East,The British Embassy,French Council of,Nairobi,Nairobi,Prophet Muhammad,Nairobi,anti-Denmark,Nairobi
3,Peru,Nairobi,British Embassy,France,British,Malaysian,France,Middle East,France
4,Sudan,France,Nairobi,Abdullah Ahmad Badawi,France,Middle East,Abdullah Ahmad Badawi,Peru,Fujimori
5,India,Abdullah Ahmad Badawi,France,French Council of the Muslim Faith,Abdullah Ahmad Badawi,Peru,India Pakistan Afghanistan Bangladesh Malaysia,Sudan,Abdullah Ahmad Badawi
6,Nairobi,Prophet Muhammad,Abdullah Ahmad Badawi,Bangladesh,West,Sudan,Khartoum,India,West
7,Council,West,Sudan's,Denmark,Muslim,Muslim Faith,Middle East,Nairobi,Bangladesh
8,Malaysia,Khartoum,Prophet Muhammad,Malaysia,Muslims,India,Venezuela,French,the Prophet Muhammad
9,Khartoum,the Middle East,Denmark,Khartoum,Mr. Fujimori Peru,Nairobi,Peru,Malaysia,Malaysia
10,Pakistan,Pakistan,India Pakistan Afghanistan Bangladesh Malaysia,Pakistan,India Pakistan Afghanistan Bangladesh Malaysia,French,Sudan,Pakistan,the French Council of the Muslim Faith
11,West,Afghanistan,Khartoum,Muslim world,Khartoum,Embassy,,Fujimori Peru,Khartoum
12,Bangladesh,the French Council of the Muslim,Fujimori Peru's,Afghanistan,Danish,Muslims,,Western,the Middle East
13,Muslim,Venezuela,Danish,Middle East,Middle East,Malaysia,,West,Pakistan
14,Afghanistan,Peru,Venezuela,Venezuela,Venezuela,Khartoum,,Bangladesh,Afghanistan
15,Prime Minister Abdullah Ahmad Badawi,Sudan,Peru,Peru,Peru,Prophet,,Afghanistan,Venezuela
16,France,Bangladesh Malaysia,,Sudan,Sudan,Western,,Muhammad,Peru
17,Venezuela,,,,,West,,Kenyan,Sudan
18,Mr. Fujimori,,,,,Muslim,,British Embassy,
19,,,,,,Kenyan,,France,
20,,,,,,France,,Danish,
21,,,,,,Mr. Fujimori Peru,,Venezuela,
22,,,,,,Danish,,,
23,,,,,,Venezuela,,,
